Name, Rating, Price, Number of Reviews, Keywords, Phone Number, Address
Urth Caffé- Downtown LA,4,$$,5229,['Coffee & Tea'; 'Desserts'; 'Sandwiches'],(213) 797-4534,451 S Hewitt St; Arts District
Silverlake Ramen,4,$$,3232,['Ramen'; 'Sushi Bars'; 'Noodles'],(323) 660-8100,2927 W Sunset Blvd; Silver Lake
Animal,4,$$$,3372,['American (New)'; 'Breakfast & Brunch'; 'Wine Bars'],(323) 782-9225,435 N Fairfax Ave; Beverly Grove
India’s Restaurant,4.5,$$,2609,['Indian'; 'Halal'; 'Buffets'],(323) 912-9230,4366 Fountain Ave; East Hollywood
Dirt Dog,4.5,$,2056,['Hot Dogs'; 'Beer Bar'],(213) 749-1813,2528 S Figueroa St; University Park
Soowon Galbi KBBQ Restaurant,4.5,$$,2530,['Korean'; 'Barbeque'],(213) 365-9292,856 S Vermont Ave; Koreatown
Cafe Murmurs,,$,,['Coffee & Tea'; 'Sandwiches'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Maccheroni Republic,4,$$,2940,['Italian'; 'Wine Bars'],(213) 346-9725,332 S Broadway; Downtown
Joe’s Falafel,4.5,$$,2042,['Mediterranean'],(323) 512-4447,3535 Cahuenga Blvd W; Studio City
Quarters Korean BBQ,4,$$,2700,['Korean'; 'Barbeque'; 'Tapas Bars'],(213) 365-8111,3465 W 6th St; Wilshire Center
Guisados,4.5,$,2073,['Mexican'],(213) 250-7600,1261 W Sunset Blvd; Echo Park
Alcove Café & Bakery,4,$$,4249,['Bakeries'; 'Breakfast & Brunch'; 'American (New)'],(323) 644-0100,1929 Hillhurst Ave; Los Feliz
Guisados,4.5,$,2439,['Mexican'; 'Latin American'],(323) 264-7201,2100 East Cesar E Chavez Ave; Boyle Heights
Ave 26 Taco Stand,4.5,$,1457,['Food Stands'; 'Tacos'],Ave 26 & Humboldt St,Lincoln Heights
Met Her At A Bar,4.5,$$,1381,['Cafes'; 'Breakfast & Brunch'; 'American (New)'],(323) 847-5013,759 S La Brea Ave; Mid-Wilshire
Papa Cristo’s,4.5,$$,1901,['Greek'; 'Mediterranean'],(323) 737-2970,2771 W Pico Blvd; Pico-Union
The Broad,4,Art Museums,2365,['Art Museums'],(213) 232-6200,221 S Grand Ave; Downtown
Cafe Murmurs,,$,,['Desserts'; 'Sandwiches'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
Milk Jar Cookies,4.5,$,1545,['Desserts'; 'Bakeries'; 'Coffee & Tea'],(323) 634-9800,5466 Wilshire Blvd; Mid-Wilshire
Tatsu Ramen,4,$$,3559,['Ramen'],(323) 747-1388,7111 Melrose Ave; Fairfax
Bulgogi Hut,4.5,$$,2286,['Korean'; 'Barbeque'; 'Asian Fusion'],(213) 388-1988,3600 Wilshire Blvd; Koreatown
Anarkali Indian Restaurant,4.5,$$,2692,['Indian'],(323) 934-6488,7013 Melrose Ave; Hollywood
Leo’s Tacos Truck,4.5,$,1838,['Food Trucks'; 'Tacos'],(323) 346-2001,1515 S La Brea Ave; Mid-City
BROKEN MOUTH | Lee’s Homestyle,5,$$,817,['Asian Fusion'; 'Hawaiian'; 'Korean'],(213) 418-9588,231 E 9th St; Downtown
Eight Korean BBQ,4.5,$$,1656,['Korean'; 'Barbeque'],(213) 365-1750,863 S Western Ave; Koreatown
El Chato Taco Truck,4.5,$,1283,['Mexican'; 'Food Trucks'],(323) 202-6936,5300 W Olympic Blvd; Mid-Wilshire
LACMA,,Art Museums,1870,['Art Museums'],(323) 857-6000,5905 Wilshire Blvd; Mid-Wilshire
Road To Seoul,4,$$,3716,['Korean'; 'Barbeque'],(323) 731-9292,1230 S Western Ave; Harvard Heights
Cafe Murmurs,,$,,['Coffee & Tea'; 'Sandwiches'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Ssam Korean BBQ,4.5,$$,1193,['Barbeque'; 'Korean'],(323) 737-9292,1040 S Western Ave; Harvard Heights
Donut Friend,4.5,$,2348,['Donuts'; 'Vegan'],(213) 995-6191,5107 York Blvd; Highland Park
Angelini Osteria,4.5,$$$,1759,['Italian'; 'Wine Bars'; 'Pizza'],(323) 297-0070,7313 Beverly Blvd; Fairfax
Hangari Kalguksu,4.5,$$,1649,['Korean'; 'Soup'; 'Noodles'],(213) 388-2326,3470 W 6th St; Wilshire Center
Hoy-Ka Thai Restaurant,4.5,$$,1819,['Thai'; 'Noodles'],(323) 688-3558,5908 Sunset Blvd; Hollywood
Pasta Sisters,4.5,$$,1469,['Delis'; 'Italian'],(323) 870-5271,3343 W Pico Blvd; Arlington Heights
Guisados DTLA,4.5,$,1801,['Mexican'],(213) 627-7656,541 S Spring St; Downtown
Bäco Mercat,4,$$,2580,['Mediterranean'; 'Sandwiches'; 'African'],(213) 687-8808,408 S Main St; Downtown
Tsujita LA Artisan Noodle,4,$$,3938,['Ramen'; 'Noodles'],(310) 231-7373,2057 Sawtelle Blvd; Sawtelle
Yuko Kitchen,4.5,$$,1553,['Japanese'],(323) 933-4020,5484 Wilshire Blvd; Mid-Wilshire
Cafe Murmurs,,$,,['Desserts'; 'Coffee & Tea'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Mex Perú Gipsy,5,$$,852,['Mexican'; 'Peruvian'; 'Seafood'],(213) 748-1773,414 E 12th St; Downtown
SUGARFISH by sushi nozawa,4,$$$,2428,['Japanese'; 'Sushi Bars'],(213) 627-3000,600 W 7th St; Downtown
Dino’s Chicken and Burgers,4,$,2004,['Burgers'; 'Mexican'],(213) 380-3554,2575 W Pico Blvd; Pico-Union
Bao Dim Sum House,4,$$,2944,['Dim Sum'; 'Bars'; 'Tapas/Small Plates'],(323) 655-6556,8256 Beverly Blvd; Beverly Grove
Cafe Dulce,4,$,2137,['Coffee & Tea'; 'Bakeries'; 'Cafes'],(213) 346-9910,134 Japanese Village Plz; Little Tokyo
A Food Affair,4.5,$$,1285,['French'],(310) 557-9795,1513 S Robertson Blvd; Pico-Robertson
Hokkaido Ramen Santouka,4.5,$$,2235,['Ramen'; 'Noodles'],(310) 391-1101,3760 S Centinela Ave; Mar Vista
California Donuts,4,$,2760,['Bakeries'; 'Donuts'; 'Coffee & Tea'],(213) 385-3318,3540 W 3rd St; Wilshire Center
Father’s Office,3.5,$$,6023,['American (New)'; 'Burgers'; 'Gastropubs'],(310) 736-2224,3229 Helms Ave; Mid-City
Roscoe’s House of Chicken & Waffles,4,$$,3923,['Soul Food'; 'Waffles'; 'Chicken Wings'],(323) 466-7453,1514 N Gower St; Hollywood
Cafe Murmurs,,$,,['Sandwiches'; 'Coffee & Tea'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Benny’s Tacos & Chicken Rotisserie,4.5,$,2159,['Mexican'; 'Tex-Mex'],(310) 670-8226,7101 W Manchester Ave; Westchester
Sun Nong Dan,4,$$,1605,['Korean'; 'Soup'],(213) 365-0303,3470 W 6th St; Wilshire Center
Shin-Sen-Gumi Hakata Ramen - Little Tokyo,4,$$,2777,['Ramen'; 'Japanese Curry'; 'Tapas/Small Plates'],(213) 687-7108,132 S Central Ave; Little Tokyo
DeSano Pizza Bakery,4.5,$$,1191,['Pizza'; 'Italian'],(323) 913-7000,4959 Santa Monica Blvd; East Hollywood
Mario’s Peruvian & Seafood,4,$$,2317,['Seafood'; 'Peruvian'],(323) 466-4181,5786 Melrose Ave; Hancock Park
Ahgassi Gopchang,4.5,$$,1399,['Korean'; 'Barbeque'],(213) 249-9678,3744 W 6th St; Koreatown
Sul & Beans,4,$$,1381,['Desserts'; 'Coffee & Tea'; 'Shaved Ice'],(213) 385-5510,621 Western Ave; Koreatown
The Little Door,4,$$$,2078,['French'; 'Mediterranean'; 'Modern European'],(323) 951-1210,8164 W 3rd St; Beverly Grove
Poppy + Rose,4,$$,2348,['Breakfast & Brunch'; 'American (New)'; 'Comfort Food'],(213) 995-7799,765 Wall St; Downtown
Salt & Straw,4.5,$$,999,['Ice Cream & Frozen Yogurt'],(213) 988-7070,829 E 3rd St; Arts District
Cafe Murmurs,,$,,['Sandwiches'; 'Coffee & Tea'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Home Restaurant - Los Feliz,4,$$,2815,['Breakfast & Brunch'; 'Coffee & Tea'; 'American (New)'],(323) 669-0211,1760 Hillhurst Ave; Los Feliz
Pink’s Hot Dogs,3.5,$,7109,['Hot Dogs'],(323) 931-4223,709 N La Brea Ave; Fairfax
Mashti Malone’s Ice Cream,4.5,$,1297,['Ice Cream & Frozen Yogurt'; 'Desserts'],(323) 874-0144,1525 N La Brea Ave; Hollywood
Ham Ji Park,4,$$,1498,['Korean'; 'Barbeque'],(213) 365-8773,3407 W 6th St; Wilshire Center
Bavel,4.5,$$$,1330,['Middle Eastern'],(213) 232-4966,500 Mateo St; Arts District
Chichen Itza Restaurant,4.5,$$,1214,['Mexican'; 'Sandwiches'; 'Soup'],(213) 741-1075,3655 S Grand Ave; Historic South Central
Cassell’s Hamburgers,4,$$,1581,['American (Traditional)'; 'Burgers'; 'Breakfast & Brunch'],(213) 387-5502,3600 W 6th St; Wilshire Center
The Boiling Crab,4,$$,2331,['Seafood'; 'Cajun/Creole'],(213) 389-2722,3377 Wilshire Blvd; Wilshire Center
Gol Tong Chicken,4.5,$$,685,['Chicken Wings'; 'Korean'],(213) 716-6116,361 Western Ave; Koreatown
Sushi Enya - Los Angeles,4.5,$$,1396,['Japanese'; 'Sushi Bars'],343 E 1st St,Little Tokyo
Cafe Murmurs,,$,,['Coffee & Tea'; 'Sandwiches'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Water Grill - Los Angeles,4,$$$,2104,['Seafood'],(213) 891-0900,544 S Grand Ave; Downtown
Natural History Museum,4.5,Museums,1158,['Museums'],(213) 763-3466,900 Exposition Blvd; Exposition Park
Taqueria Los Anaya,4.5,$$,1167,['Mexican'],(323) 731-4070,4651 W Adams Blvd; West Adams
Corn Man,4.5,$,929,['Food Stands'; 'Mexican'],(213) 788-2323,2338 Workman St; Lincoln Heights
Angry Chickz,4.5,$$,852,['Southern'; 'Comfort Food'; 'Chicken Shop'],(323) 928-2825,5065 Hollywood Blvd; Los Feliz
Ta-eem Grill,4.5,$$,1108,['Mediterranean'; 'Kosher'],(323) 944-0013,7422 Melrose Ave; Fairfax
The Bun Shop,4,$,1551,['Korean'; 'Asian Fusion'],(323) 468-1031,151 N Western Ave; Koreatown
Roscoe’s House of Chicken & Waffles,4,$$,2815,['Soul Food'; 'Waffles'; 'Chicken Shop'],(323) 934-4405,5006 W Pico Blvd; Mid-City
Shojin Downtown,4,$$,1793,['Japanese'; 'Vegan'; 'Gluten-Free'],(213) 617-0305,333 S Alameda St; Little Tokyo
Guelaguetza Restaurante,4,$$,2267,['Mexican'],(213) 427-0608,3014 W Olympic Blvd; Harvard Heights
Cafe Murmurs,,$,,['Desserts'; 'Sandwiches'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
n/naka,4.5,$$$$,729,['Japanese'],(310) 836-6252,3455 Overland Ave; Palms
Sage Vegan Bistro - Echo Park,4,$$,2275,['Vegan'; 'Brewpubs'],(213) 989-1718,1700 Sunset Blvd; Echo Park
Osteria La Buca,4,$$,1905,['Italian'; 'Pizza'; 'Breakfast & Brunch'],(323) 462-1900,5210 Melrose Ave; Larchmont
Tlayuda L.A. Restaurant,4.5,$$,720,['Mexican'],(213) 261-4667,5450 Santa Monica Blvd; East Hollywood
Ricky’s Fish Tacos,4.5,$,1173,['Food Trucks'; 'Tacos'],(323) 395-6233,3061 Riverside Dr; Griffith Park
Pa Ord Noodle,4,$,1440,['Thai'; 'Noodles'],(323) 461-3945,5301 W Sunset Blvd; East Hollywood
Bludso’s Bar & Que,4,$$,2010,['Barbeque'; 'American (Traditional)'; 'Cocktail Bars'],(323) 931-2583,609 N La Brea Ave; Fairfax
Kobawoo House,4.5,$$,1197,['Korean'; 'Soup'; 'Seafood'],(213) 389-7300,698 S Vermont Ave; Wilshire Center
Hae Ha Heng Thai Bistro,4.5,$$,1177,['Thai'],(213) 388-2407,301 S Western Ave; Koreatown
Cleo Hollywood,4,$$$,1745,['Mediterranean'; 'Venues & Event Spaces'; 'Tapas/Small Plates'],(323) 962-1711,1717 Vine St; Hollywood
Cafe Murmurs,,$,,['Desserts'; 'Coffee & Tea'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Marmalade Cafe,4,$$,2199,['American (New)'; 'Breakfast & Brunch'; 'Cafes'],(323) 954-0088,6333 West 3rd St; Fairfax
Runyon Canyon Park,4,Dog Parks, ,1766,['Dog Parks'],(323) 666-5046,2000 N Fuller Ave; Hollywood Hills West
Joan’s on Third,4,$$,2307,['Breakfast & Brunch'; 'Cafes'],(323) 655-2285,8350 W 3rd St; Beverly Grove
Beverly Soon Tofu Restaurant,4,$$,1518,['Korean'; 'Soup'; 'Barbeque'],(213) 380-1113,2717 W Olympic Blvd; Koreatown
Palms Thai Restaurant,4,$$,2719,['Seafood'; 'Thai'; 'Barbeque'],(323) 462-5073,5900 Hollywood Blvd; Hollywood
Faith & Flower,4,$$$,2500,['American (New)'; 'Cocktail Bars'],(213) 239-0642,705 W 9th St; Downtown
Mendocino Farms,4.5,$$,1119,['Sandwiches'; 'Salad'],(323) 934-4261,175 S Fairfax Ave; Beverly Grove
My Two Cents,4.5,$$,645,['Southern'; 'Seafood'; 'Soul Food'],(323) 879-9881,5583 W Pico Blvd; Mid-Wilshire
Philz Coffee,4.5,$,936,['Coffee & Tea'; 'Breakfast & Brunch'],(213) 213-2616,801 S Hope St; Downtown
Birdies,4,$$,1861,['Chicken Shop'; 'Donuts'; 'Coffee & Tea'],(213) 536-5720,314 W Olympic Blvd; Downtown
Cafe Murmurs,,$,,['Sandwiches'; 'Desserts'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
Cafe Gratitude - Larchmont,4,$$,2119,['Vegan'; 'Vegetarian'; 'Breakfast & Brunch'],(323) 580-6383,639 N Larchmont Blvd; Larchmont
Sushi Komasa,4.5,$$,1311,['Sushi Bars'],(213) 680-1792,351 E 2nd St; Little Tokyo
Wanderlust Creamery,4.5,$$,962,['Desserts'; 'Ice Cream & Frozen Yogurt'],(818) 774-9888,3134 Glendale Blvd; Atwater Village
Larchmont Village Wine Spirits & Cheese,4.5,$,903,['BeerWine & Spirits'; 'Sandwiches'; 'Cheese Shops'],(323) 856-8699,223 N Larchmont Blvd; Windsor Square
Alchemist Coffee Project,4.5,$$,1093,['Coffee & Tea'; 'Bakeries'; 'Breakfast & Brunch'],(213) 388-8767,698 S Vermont Ave; Wilshire Center
Park’s BBQ,4,$$$,1724,['Barbeque'; 'Korean'],(213) 380-1717,955 S Vermont Ave; Koreatown
Craft,4,$$$,1694,['American (New)'; 'Cocktail Bars'; 'Seafood'],(310) 279-4180,10100 Constellation Blvd; Century City
Jeni’s Splendid Ice Creams,4.5,$$,854,['Ice Cream & Frozen Yogurt'],(323) 928-2668,1954 Hillhurst Ave; Los Feliz
Gus’s World Famous Fried Chicken,4,$$,1422,['Southern'; 'Chicken Shop'; 'Comfort Food'],(323) 402-0232,1262 Crenshaw Blvd; Arlington Heights
The Grain Cafe,4.5,$$,892,['Sandwiches'; 'Vegan'; 'Vegetarian'],(323) 931-4034,4222 W Pico Blvd; Mid-City
Cafe Murmurs,,$,,['Desserts'; 'Coffee & Tea'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Crossroads,4,$$$,2135,['Vegan'; 'Mediterranean'; 'Breakfast & Brunch'],(323) 782-9245,8284 Melrose Ave; Beverly Grove
Carlitos Gardel Argentine Steakhouse,4.5,$$$,984,['Argentine'; 'Steakhouses'],(323) 655-0891,7963 Melrose Ave; Beverly Grove
Mariscos Jalisco,4.5,$,885,['Mexican'; 'Seafood'; 'Food Trucks'],(323) 528-6701,3040 E Olympic Blvd; Boyle Heights
Golden State,4,$$,1517,['Burgers'; 'American (Traditional)'; 'Beer Bar'],(323) 782-8331,426 N Fairfax Ave; Fairfax
Seven Grand,4,$$,2145,['Lounges'; 'Whiskey Bars'],(213) 614-0736,515 W 7th St; Downtown
Jacks N Joe,4,$$,2067,['Breakfast & Brunch'; 'American (New)'],(213) 748-4565,2498 S Figueroa St; University Park
Bacari W. Adams,4,$$,1381,['Italian'; 'Breakfast & Brunch'; 'American (New)'],(213) 748-7205,2308 S Union Ave; University Park
Nickel Diner,4,$$,2409,['Diners'; 'Breakfast & Brunch'; 'Coffee & Tea'],(213) 623-8301,524 S Main St; Downtown
Mikawaya,4,$,1521,['Desserts'; 'Ice Cream & Frozen Yogurt'; 'Gelato'],(213) 624-1681,Located in Japanese Village Plaza; Little Tokyo
Yang Chow,4,$$,2608,['Chinese'; 'Seafood'; 'Noodles'],(213) 625-0811,819 N Broadway; Chinatown
Cafe Murmurs,,$,,['Coffee & Tea'; 'Sandwiches'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Oakobing,4.5,$$,971,['Shaved Ice'; 'Cafes'; 'Desserts'],(213) 387-4392,3300 W 6th St; Wilshire Center
Mohawk Bend,4,$$,2410,['Beer Bar'; 'Pizza'; 'American (New)'],(213) 483-2337,2141 W Sunset Blvd; Echo Park
Ruen Pair,4,$$,1754,['Thai'],(323) 466-0153,5257 Hollywood Blvd; Los Feliz
Running Goose,4.5,$$,1051,['Tapas/Small Plates'; 'Gastropubs'; 'Latin American'],(323) 469-1080,1620 N Cahuenga Blvd; Hollywood
Bossa Nova on Sunset,3.5,$$,3137,['Brazilian'; 'Pizza'; 'Sandwiches'],(323) 436-7999,7181 W Sunset Blvd; Hollywood
AOC,4,$$$,2251,['Wine Bars'; 'Tapas Bars'; 'Cocktail Bars'],(310) 859-9859,8700 W 3rd St; Beverly Grove
Gelateria Uli,4.5,$,670,['Ice Cream & Frozen Yogurt'; 'Gelato'; 'Coffee & Tea'],(213) 537-0931,541 S Spring St; Downtown
Eastside Italian Deli,4.5,$,1015,['Italian'; 'Delis'; 'Sandwiches'],(213) 250-2464,1013 Alpine St; Chinatown
Bronzed Aussie,4.5,$,622,['Caterers'; 'Desserts'],(213) 243-0770,1437 S Robertson Blvd; Pico-Robertson
The Oinkster,4,$$,3608,['American (Traditional)'; 'Bars'; 'Sandwiches'],(323) 255-6465,2005 Colorado Blvd; Eagle Rock
Cafe Murmurs,,$,,['Coffee & Tea'; 'Desserts'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Berlins,4.5,$,969,['Bubble Tea'; 'German'; 'Sandwiches'],(323) 746-5409,8474 W 3rd St; Beverly Grove
Cardamom Indian Cuisine,4.5,$$,894,['Indian'; 'Halal'; 'Vegetarian'],(323) 936-1000,7233 Beverly Blvd; Fairfax
Stout Burgers & Beers,4,$$,2079,['Burgers'; 'Gastropubs'; 'American (Traditional)'],(323) 469-3801,1544 N Cahuenga Blvd; Hollywood
Otium,4,$$$,2025,['American (New)'],(213) 935-8500,222 S Hope St; Downtown
Bae,4.5,$,1190,['Coffee & Tea'; 'Ice Cream & Frozen Yogurt'],(213) 266-8899,369 E 2nd St; Little Tokyo
The Kitchen,4,$$,1431,['American (New)'; 'Breakfast & Brunch'; 'American (Traditional)'],(323) 664-3663,4348 Fountain Ave; Silver Lake
Sqirl,4,$$,2039,['American (New)'; 'Salad'],(323) 284-8147,720 N Virgil Ave; East Hollywood
Best Fish Taco In Ensenada,4,$,2146,['Mexican'],(323) 466-5552,1650 Hillhurst Ave; Los Feliz
Fat Sal’s Deli - Hollywood,4,$$,2086,['Sandwiches'; 'Burgers'],(855) 682-4373,1300 N Highland Ave; Hollywood
Undergrind Cafe,4.5,$,728,['Cafes'; 'Coffee & Tea'; 'Breakfast & Brunch'],(310) 730-6392,2713 S Robertson Blvd; Beverlywood
Cafe Murmurs,,$,,['Sandwiches'; 'Coffee & Tea'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Tatsu Ramen,4,$$,3241,['Ramen'],(310) 684-2889,2123 Sawtelle Blvd; Sawtelle
Ktown Pho,4.5,$$,664,['Vietnamese'; 'Soup'],(323) 643-4772,974 S Western Ave; Koreatown
Chibiscus Asian Cafe,4,$$,1087,['Asian Fusion'; 'Ramen'],(323) 977-9877,7361 W Sunset Blvd; Hollywood
Tiki-Ti Cocktail Lounge,4.5,$$,883,['Tiki Bars'],(323) 669-9381,4427 W Sunset Blvd; Los Feliz
Fratelli Cafe,4.5,$$,1206,['Coffee & Tea'; 'Breakfast & Brunch'; 'Sandwiches'],(323) 938-2233,7200 Melrose Ave; Fairfax
71 Above,4,$$$$,1880,['American (Traditional)'; 'Desserts'; 'Cocktail Bars'],(213) 712-2683,633 W 5th St; Downtown
B Sweet Dessert Bar,4,$,1679,['Desserts'; 'Bakeries'; 'Coffee & Tea'],(310) 963-9769,2005 Sawtelle Blvd; Sawtelle
LA Rose Cafe,4.5,$$,979,['Filipino'],(323) 662-4024,4749 Fountain Ave; East Hollywood
Eat This Cafe,4.5,$$,1067,['Breakfast & Brunch'; 'Sandwiches'; 'Salad'],(323) 999-2003,6547 Santa Monica Blvd; Hollywood
Toca Madera,4,$$$,2002,['Cocktail Bars'; 'Mexican'; 'Breakfast & Brunch'],(323) 852-9400,8450 W 3rd St; Beverly Grove
Cafe Murmurs,,$,,['Desserts'; 'Coffee & Tea'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Colori Kitchen TEXT 323-363-8435,4,$$,1647,['Italian'],(213) 893-8317,429 W 8th St; Downtown
Sonoratown,4.5,$,1034,['Tacos'],(213) 628-3710,208 E 8th St; Downtown
Yuchun,4,$$,1053,['Korean'; 'Soup'; 'Noodles'],(213) 382-3815,3185 W Olympic Blvd; Koreatown
Canter’s Deli,3.5,$$,3712,['Bakeries'; 'Delis'; 'Breakfast & Brunch'],(323) 651-2030,419 N Fairfax Ave; Beverly Grove
The Edison,3.5,$$$,3073,['Cocktail Bars'; 'Music Venues'],(213) 613-0000,108 W 2nd St; Downtown
Byul Gobchang,4.5,$$,708,['Barbeque'; 'Korean'],(213) 739-0321,3819 W 6th St; Koreatown
Big Man Bakes,4,$$,1336,['Desserts'; 'Bakeries'],(213) 617-9100,413 S Main St; Downtown
Smorgasburg,4,$$,1049,['Food Trucks'; 'Pop-Up Restaurants'; 'Street Vendors'],(718) 928-6603,777 Alameda St; Downtown
Boo’s Philly Cheesesteaks - Silverlake,4.5,$,1116,['Cheesesteaks'; 'Sandwiches'; 'American (New)'],(323) 661-1955,4501 Fountain Ave; East Hollywood
Araya’s Place - Thai Vegan Restaurant,4.5,$$,641,['Vegan'; 'Thai'],(323) 900-0557,8101 Beverly Blvd; Beverly Grove
Cafe Murmurs,,$,,['Sandwiches'; 'Desserts'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
Balconi Coffee Company,4.5,$$,908,['Coffee & Tea'],11301 W Olympic Blvd,Sawtelle
HomeState,4.5,$,1047,['Tex-Mex'; 'Breakfast & Brunch'; 'Tacos'],(323) 906-1122,4624 Hollywood Blvd; East Hollywood
Andre’s Italian Restaurant,4,$,1201,['Italian'; 'Pizza'],(323) 935-1246,6332 W 3rd St; Mid-Wilshire
The Griddle Cafe,4,$$,5897,['Breakfast & Brunch'; 'Coffee & Tea'; 'Sandwiches'],(323) 874-0377,7916 W Sunset Blvd; Hollywood Hills West
Lala’s Argentine Grill,4,$$,1931,['Argentine'; 'Steakhouses'; 'Sandwiches'],(323) 934-6838,7229 Melrose Ave; Fairfax
Osteria Mamma,4,$$,1602,['Italian'; 'Wine Bars'],(323) 284-7060,5732 Melrose Ave; Larchmont
Chosun Galbee,4,$$$,1641,['Korean'; 'Bars'; 'Barbeque'],(323) 734-3330,3330 W Olympic Blvd; Harvard Heights
Mrs Fish,4.5,$$,1091,['Sushi Bars'; 'Japanese'],(213) 873-4444,448 South Hill St; Downtown
Intelligentsia Coffee,4,$$,1722,['Coffee & Tea'],(323) 663-6173,3922 W Sunset Blvd; Silver Lake
The Black Sheep,4.5,$$,1052,['Pubs'; 'Gastropubs'; 'Burgers'],(213) 689-5022,126 E 6th St; Downtown
